,Nav_GPS1_UTC,Nav_GPS1_Latitude,Nav_GPS1_Longitude
4568,2023-02-04 04:08:14,5.661,84.055
4569,2023-02-04 04:09:14,5.661,84.059
4570,2023-02-04 04:10:14,5.661,84.063
4571,2023-02-04 04:11:14,5.662,84.067
4572,2023-02-04 04:12:14,5.662,84.072
4573,2023-02-04 04:13:15,5.662,84.076
4574,2023-02-04 04:14:14,5.662,84.08
4575,2023-02-04 04:15:15,5.662,84.084
4576,2023-02-04 04:16:15,5.663,84.088
4577,2023-02-04 04:17:15,5.663,84.092
4578,2023-02-04 04:18:14,5.663,84.096
4579,2023-02-04 04:19:15,5.663,84.1
4580,2023-02-04 04:20:14,5.663,84.104
4581,2023-02-04 04:21:15,5.664,84.109
4582,2023-02-04 04:22:15,5.664,84.113
4583,2023-02-04 04:23:14,5.664,84.117
4584,2023-02-04 04:24:15,5.664,84.121
4585,2023-02-04 04:25:14,5.664,84.125
4586,2023-02-04 04:26:15,5.665,84.129
4587,2023-02-04 04:27:14,5.665,84.133
4588,2023-02-04 04:28:15,5.665,84.137
4589,2023-02-04 04:29:15,5.665,84.141
4590,2023-02-04 04:30:14,5.665,84.146
4591,2023-02-04 04:31:14,5.665,84.15
4592,2023-02-04 04:32:15,5.666,84.154
4593,2023-02-04 04:33:14,5.666,84.158
4594,2023-02-04 04:34:14,5.666,84.162
4595,2023-02-04 04:35:15,5.666,84.166
4596,2023-02-04 04:36:15,5.666,84.17
4597,2023-02-04 04:37:15,5.667,84.174
4598,2023-02-04 04:38:15,5.667,84.178
4599,2023-02-04 04:39:15,5.667,84.182
4600,2023-02-04 04:40:14,5.667,84.187
4601,2023-02-04 04:41:14,5.667,84.191
4602,2023-02-04 04:42:14,5.668,84.195
4603,2023-02-04 04:43:15,5.668,84.199
4604,2023-02-04 04:44:14,5.668,84.203
4605,2023-02-04 04:45:15,5.668,84.207
4606,2023-02-04 04:46:14,5.668,84.211
4607,2023-02-04 04:47:15,5.669,84.215
4608,2023-02-04 04:48:14,5.669,84.219
4609,2023-02-04 04:49:14,5.669,84.223
4610,2023-02-04 04:50:14,5.669,84.227
4611,2023-02-04 04:51:15,5.67,84.231
4612,2023-02-04 04:52:15,5.67,84.235
4613,2023-02-04 04:53:14,5.67,84.239
4614,2023-02-04 04:54:15,5.67,84.243
4615,2023-02-04 04:55:14,5.671,84.247
4616,2023-02-04 04:56:14,5.671,84.251
4617,2023-02-04 04:57:15,5.671,84.255
4618,2023-02-04 04:58:15,5.671,84.259
4619,2023-02-04 04:59:15,5.672,84.263
4620,2023-02-04 05:00:14,5.672,84.267
4621,2023-02-04 05:01:14,5.672,84.271
4622,2023-02-04 05:02:14,5.672,84.275
4623,2023-02-04 05:03:14,5.673,84.279
4624,2023-02-04 05:04:15,5.673,84.283
4625,2023-02-04 05:05:15,5.673,84.287
4626,2023-02-04 05:06:15,5.673,84.291
4627,2023-02-04 05:07:15,5.674,84.295
4628,2023-02-04 05:08:15,5.674,84.299
4629,2023-02-04 05:09:14,5.674,84.303
4630,2023-02-04 05:10:14,5.674,84.307
4631,2023-02-04 05:11:15,5.673,84.311
4632,2023-02-04 05:12:15,5.673,84.315
4633,2023-02-04 05:13:15,5.672,84.32
4634,2023-02-04 05:14:15,5.672,84.324
4635,2023-02-04 05:15:15,5.671,84.328
4636,2023-02-04 05:16:14,5.671,84.332
4637,2023-02-04 05:17:14,5.67,84.336
4638,2023-02-04 05:18:15,5.67,84.34
4639,2023-02-04 05:19:15,5.669,84.344
4640,2023-02-04 05:20:15,5.669,84.348
4641,2023-02-04 05:21:14,5.669,84.352
4642,2023-02-04 05:22:14,5.669,84.356
4643,2023-02-04 05:23:15,5.67,84.36
4644,2023-02-04 05:24:15,5.672,84.363
4645,2023-02-04 05:25:14,5.674,84.367
4646,2023-02-04 05:26:15,5.674,84.371
4647,2023-02-04 05:27:15,5.675,84.375
4648,2023-02-04 05:28:15,5.675,84.379
4649,2023-02-04 05:29:15,5.675,84.383
4650,2023-02-04 05:30:14,5.676,84.387
4651,2023-02-04 05:31:14,5.676,84.391
4652,2023-02-04 05:32:15,5.677,84.395
4653,2023-02-04 05:33:15,5.677,84.399
4654,2023-02-04 05:34:15,5.677,84.403
4655,2023-02-04 05:35:14,5.678,84.408
4656,2023-02-04 05:36:15,5.678,84.412
4657,2023-02-04 05:37:14,5.679,84.416
4658,2023-02-04 05:38:14,5.679,84.42
4659,2023-02-04 05:39:15,5.679,84.424
4660,2023-02-04 05:40:15,5.68,84.428
4661,2023-02-04 05:41:15,5.68,84.432
4662,2023-02-04 05:42:15,5.681,84.436
4663,2023-02-04 05:43:14,5.681,84.441
4664,2023-02-04 05:44:14,5.682,84.445
4665,2023-02-04 05:45:15,5.682,84.449
4666,2023-02-04 05:46:15,5.682,84.453
